text,category,subcategory,language,is_sarcastic
"Mayur Vihar ke community hall mein management aur facilities bilkul poor hain, please act @MCD_Delhi.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
मॉडल टाउन में बारात घर की बुकिंग को लेकर दो गुटों में झगड़ा हो गया। निगम की लापरवाही से त्यौहार खराब हो गया।,community_and_public_spaces,barat_ghar_booking_disputes,Hindi,No
Thanks @MCD_Delhi! Lajpat Nagar ka community hall ab 'unexpected chaos hosting challenge' ready.,community_and_public_spaces,community_hall_mismanagement,English,Yes
"Pitampura Block C ke hall ka rent bahut zyada hai, citizens complain kar rahe hain.",community_and_public_spaces,overcharging_for_municipal_halls,Hinglish,No
"MCD's version of a 'Luxury Hall': In Rohini, you get to share your wedding stage with rats. Very adventurous!",community_and_public_spaces,community_hall_mismanagement,English,Yes
"@MCD_Delhi, Rohini Sector 9 ka hall ab 'luxury wedding challenge' ban gaya.",community_and_public_spaces,overcharging_for_municipal_halls,English,Yes
जंगपुरा के कम्युनिटी हॉल में बज रहे बैंड-बाजे ने शाम की शांति भंग कर दी है। कृपया समय सीमा लागू करें।,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hindi,No
MCD has successfully turned Pitampura hall into a 'Natural Habitat'. Grass is growing from the wall cracks!,community_and_public_spaces,broken_infrastructure_in_halls,English,Yes
"Preet Vihar ke halls mein loud music aur announcements hain, citizens complain kar rahe hain.",community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hinglish,No
"करोल बाग ke event halls se loud announcements aur music aa raha hai, urgent action chahiye.",community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hindi,No
"@MCD_Delhi, the staff at Dwarka Sec 10 community hall is asking for 5000 extra for 'cleaning'. The bill already includes it. Please check.",community_and_public_spaces,overcharging_for_municipal_halls,English,No
गुरु तेग बहादुर रोड ke community hall mein maintenance aur management urgent improve chahiye.,community_and_public_spaces,community_hall_mismanagement,Hindi,No
The noise from the Barat Ghar near Palam station is making it impossible for students to study for competitive exams.,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,English,No
"@MCD_Delhi, Dwarka ka hall ab 'unexpected luxury pricing challenge' ready for citizens!",community_and_public_spaces,overcharging_for_municipal_halls,English,Yes
MCD's version of a 'Smart Hall': No water in the taps but plenty of water leaking from the roof in Rohini. Bravo!,community_and_public_spaces,community_hall_mismanagement,English,Yes
दिल्ली के बारात घरों में शोर का आतंक प्रशासन की विफलता है। ओखला के लोग कब तक ये झेलेंगे?,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hindi,No
"@MCD_Delhi, Dwarka ka barat ghar ab 'unexpected wedding planning challenge' ready for citizens!",community_and_public_spaces,barat_ghar_booking_disputes,English,Yes
"Saket ke municipal event spaces se roz loud noise aa raha hai, please regulate @MCD_Delhi.",community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hinglish,No
"नवीन शाहदरा ke halls mein noise bahut high hai, urgent fix chahiye @MCD_Delhi.",community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hindi,No
Fantastic! Vasant Kunj ka community hall ab 'gold pricing zone' ban gaya. @MCD_Delhi,community_and_public_spaces,overcharging_for_municipal_halls,English,Yes
Thanks @MCD_Delhi! Mayur Vihar ka hall ab 'premium pricing adventure' provide kar raha hai.,community_and_public_spaces,overcharging_for_municipal_halls,English,Yes
"Rohini Sector 12 ke community hall se roz raat mein bahut loud noise ho raha hai, sleep impossible.",community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hinglish,No
"Fantastic! Dwarka ke community hall mein AC, lights aur chairs missing. @MCD_Delhi",community_and_public_spaces,community_hall_mismanagement,English,Yes
Fantastic @MCD_Delhi! GK-1 ka hall ab 'self-survive furniture challenge' provide kar raha hai.,community_and_public_spaces,broken_infrastructure_in_halls,English,Yes
Great job MCD! The community hall in Malviya Nagar is so well 'soundproofed' that I can hear the groom's cousins coughing.,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,English,Yes
"चाँदनी चौक ke hall mein infrastructure bilkul kharab hai, urgent fix chahiye.",community_and_public_spaces,broken_infrastructure_in_halls,Hindi,No
"Shalimar Bagh ke halls se loud noise aa raha hai, residents complain kar rahe hain.",community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hinglish,No
"Bhai @MCD_Delhi, Tilak Nagar hall mein lights ke liye extra paise kyun? Hum tax kis baat ka dete hain?",community_and_public_spaces,overcharging_for_municipal_halls,Hinglish,No
"Saket ke municipal hall ka rent bilkul high hai, please act @MCD_Delhi.",community_and_public_spaces,overcharging_for_municipal_halls,Hinglish,No
द्वारका सेक्टर 23 में बारात घर की रसीद होने के बावजूद स्टाफ ने हॉल देने से मना कर दिया। ये तानाशाही है। @DelhiCM,community_and_public_spaces,barat_ghar_booking_disputes,Hindi,No
Thanks @MCD_Delhi! Mayur Vihar ka hall ab 'adventure flooring experience' provide kar raha hai.,community_and_public_spaces,broken_infrastructure_in_halls,English,Yes
"Fantastic @MCD_Delhi! GK-1 ke community hall mein facilities missing hain, 'self-host your event' experience start.",community_and_public_spaces,community_hall_mismanagement,English,Yes
High decibel noise from Mayur Vihar Barat Ghar is causing distress to patients in the nearby clinic. @MCD_Delhi help.,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,English,No
"Bhai @MCD_Delhi, Tilak Nagar hall mein light chali gayi aur generator mein tel nahi tha. Pura function kharab kar diya.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
दिल्ली Haat ke event spaces mein noise ka level bilkul unbearable hai.,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hindi,No
पीतमपुरा कम्युनिटी हॉल में सफाई कर्मचारी महीनों से नहीं आए। फर्श पर धूल की परत जमी है। @DelhiCM,community_and_public_spaces,community_hall_mismanagement,Hindi,No
The Vikaspuri hall infrastructure is a masterclass in neglect. Not even a single fan works properly. Thanks MCD!,community_and_public_spaces,broken_infrastructure_in_halls,English,Yes
"Saket ke hall ka rent aur management bilkul poor hai, please rectify @MCD_Delhi.",community_and_public_spaces,overcharging_for_municipal_halls,Hinglish,No
"वाह! उत्तम नगर के हॉल में अब खिड़की नहीं, सीधा आसमान का नज़ारा मिलता है। क्या वेंटिलेशन है! @MCD_Delhi",community_and_public_spaces,community_hall_mismanagement,Hindi,Yes
"Rohini Sector 10 ka community hall bahut poorly maintained hai, please repair @MCD_Delhi.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
चाँदनी चौक ke event spaces mein noise aur disturbances bilkul high hain.,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hindi,No
Paschim Vihar municipal hall mein generator aur DJ ka itna shor hai ki padosi bimar ho rahe hain.,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hinglish,No
"मलवीय नगर ke hall mein infrastructure poor hai, turant improve karein @MCD_Delhi.",community_and_public_spaces,broken_infrastructure_in_halls,Hindi,No
दिल्ली Haat ke community hall mein maintenance aur facilities bilkul kharab hain.,community_and_public_spaces,community_hall_mismanagement,Hindi,No
तिलक नगर बारात घर में ध्वनि प्रदूषण की सीमा पार हो गई है। छोटे बच्चे सो नहीं पा रहे हैं। प्रशासन मौन क्यों है?,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hindi,No
"मॉडल टाउन में बारात घर की रसीद सिर्फ आधे पैसे की दी गई, जबकि पूरे पैसे वसूल किए गए। ये सरासर बेईमानी है।",community_and_public_spaces,overcharging_for_municipal_halls,Hindi,No
"Rohini Sector 10 ke halls se loud noise aa raha hai, please repair @MCD_Delhi.",community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hinglish,No
Fantastic! Vasant Kunj ka barat ghar ab 'self-arrange your wedding date' challenge provide kar raha hai. @MCD_Delhi,community_and_public_spaces,barat_ghar_booking_disputes,English,Yes
Rohini Sector 7 Barat Ghar staff is asking for 5000 extra cash for 'cleaning' even after full payment. Is this legal? @DelhiCM,community_and_public_spaces,barat_ghar_booking_disputes,Hinglish,No
Unauthorized people living inside the community hall in Malviya Nagar Block B. Please check the premises.,community_and_public_spaces,community_hall_mismanagement,English,No
"MCD walon, Preet Vihar hall ka price list gate pe kyun nahi lagate? Staff apni marzi ke rate batata hai. #DelhiCorruption",community_and_public_spaces,overcharging_for_municipal_halls,Hinglish,No
"@MCD_Delhi, thanks for converting Rohini Community Hall into a 5-star hotel! The overcharge is worth…not!",community_and_public_spaces,overcharging_for_municipal_halls,English,Yes
Massive corruption reported in CR Park Barat Ghar. Receipts show 12k but residents forced to pay 20k in total.,community_and_public_spaces,overcharging_for_municipal_halls,English,No
"Rohini Sector 12 ka community hall bahut poorly maintained hai, events cancel ho rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
ओखला कम्युनिटी हॉल में रात 1 बजे तक डीजे बज रहा है। पुलिस और निगम कुछ नहीं कर रहे। विद्यार्थी परेशान हैं।,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hindi,No
"Def Col community hall mein walls se plaster gir raha hai, event plan karna impossible hai.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall ka AC bilkul fail hai, summer mein function karna mushkil.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Pitampura community hall mein chairs sab tut gaye hain, residents complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Uttam Nagar hall ka floor slippery hai, koi slip na ho ye dekho MCD!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri Block B hall mein lights kabhi kaam nahi karte, wedding mein dark adventure!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Vasant Kunj hall ke toilets blocked hain, hygiene zero.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh community hall furniture aur ventilation bilkul kharab hai, urgent repair chahiye.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
Saket ka hall itna messy hai ki lagta hai MCD ne junkyard open kar diya.,community_and_public_spaces,community_hall_mismanagement,English,Yes
"मलवीय नगर hall ka floor full of dust hai, wedding function impossible.",community_and_public_spaces,community_hall_mismanagement,Hindi,No
"Preet Vihar hall ke fan bilkul fail hain, heat unbearable hai.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri hall mein AC sirf decoration ke liye lagaya hai, kaam nahi karta.",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
The community hall in Lajpat Nagar is now officially a hazard zone. Furniture falling apart.,community_and_public_spaces,community_hall_mismanagement,English,No
"Sundar Nagar hall ke toilets smell kar rahe hain, MCD ko notice bhejna chahiye.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Uttam Nagar hall mein roof se water leak ho raha hai, event bilkul impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh hall mein fans aur lights nahi kaam kar rahe, event khatam!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri Block F ka hall pura kharab hai, decorations lagana bhi mushkil.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Preet Vihar community hall ka flooring bilkul uneven, danger for elders.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini hall mein ventilation bilkul zero, full sauna experience!",community_and_public_spaces,community_hall_mismanagement,English,Yes
"MCD ne Vasant Kunj hall ko ghost house bana diya hai, chairs aur tables toot gaye hain.",community_and_public_spaces,community_hall_mismanagement,English,Yes
"Uttam Nagar hall ka AC aur fan bilkul kharab hai, heat se function fail.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket ka hall bilkul poorly maintained, residents complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri hall mein lights aur fans bilkul fail, wedding night nightmare!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
The furniture in Lajpat Nagar hall is a real obstacle course. Fun for no one.,community_and_public_spaces,community_hall_mismanagement,English,Yes
"Karol Bagh hall mein AC aur lights kabhi kaam nahi karte, total failure.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini hall ke fans ropes se tie kiye hue hain, real 'DIY maintenance' experience.",community_and_public_spaces,community_hall_mismanagement,English,Yes
"Sundar Nagar hall ke toilets aur washbasin bilkul kharab, hygiene issue.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri Block B hall mein lights kabhi kaam nahi karte, guests complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Vasant Kunj hall ka furniture aur flooring bilkul poor, function fail.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Lajpat Nagar 2 hall ka AC aur ventilation bilkul fail, wedding night disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Delhi ke community halls mein staff absent hai, management zero.",community_and_public_spaces,community_hall_mismanagement,English,No
"Saket hall ka maintenance bilkul poor, MCD please fix urgently.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh hall mein fans aur lights kaam nahi kar rahe, full disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Janakpuri hall mein toilets blocked aur smell unbearable, MCD ko notice bhejna chahiye.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Vikaspuri hall ka floor aur AC bilkul kharab, wedding function impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Lajpat Nagar hall ka furniture aur floor bilkul poor, event cancel ho gaya.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall ke toilets aur ventilation bilkul fail, function impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini Sector 9 hall ka AC aur lights bilkul fail hain, guests complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Vasant Kunj hall ka flooring bilkul uneven, MCD action lena chahiye.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh hall ka furniture aur ventilation bilkul fail, event cancel ho gaya.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
The community hall in Pitampura is now a hazard zone. Chairs falling apart!,community_and_public_spaces,community_hall_mismanagement,English,No
"Preet Vihar hall ka AC bilkul useless hai, MCD please repair.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Sundar Nagar hall ke toilets bilkul kharab hain, hygiene zero.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini Sector 12 hall mein lights aur AC fail hain, wedding night disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Delhi Haat community hall ka maintenance bilkul poor, residents complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh hall ka AC aur lights bilkul fail, function impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall mein floor aur chairs poor condition mein, MCD act immediately!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini hall ke furniture aur AC bilkul fail, wedding night nightmare!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Janakpuri Block B hall mein lights aur fans kaam nahi kar rahe, guests complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Vasant Kunj hall ka furniture aur flooring bilkul kharab, event cancel ho gaya.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Sundar Nagar hall ke AC aur ventilation bilkul fail, total disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Lajpat Nagar hall ka floor aur furniture bilkul poor, MCD please repair.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh hall mein AC aur lights bilkul fail, wedding night disaster.",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Preet Vihar hall ka furniture aur flooring bilkul kharab, residents complain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini Sector 10 hall mein AC aur ventilation bilkul fail, summer mein disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Saket hall ke toilets aur washbasin poor condition mein, hygiene issue.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Delhi ke halls mein maintenance staff absent, management bilkul zero.",community_and_public_spaces,community_hall_mismanagement,English,No
"Janakpuri hall mein lights aur fans fail, wedding night adventure!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Lajpat Nagar 2 hall ka furniture aur floor bilkul kharab, function impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Sundar Nagar hall mein AC aur ventilation bilkul fail, guests complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall ka floor aur furniture bilkul poor, MCD please repair urgently.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri Block B hall ka AC aur lights bilkul fail, wedding night disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Vasant Kunj hall mein furniture aur flooring bilkul kharab, event impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh hall ka maintenance bilkul poor, MCD act immediately.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Lajpat Nagar hall ka AC aur ventilation bilkul fail, wedding night nightmare!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Saket hall ka furniture aur floor bilkul kharab, MCD please repair.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Vikaspuri hall ke fans aur lights bilkul fail, summer mein function impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Delhi Haat hall ka maintenance zero, residents complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini Sector 12 hall mein furniture aur flooring bilkul poor, event fail.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall mein AC aur lights kabhi kaam nahi karte, wedding night adventure!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Pitampura hall mein fans aur lights bilkul fail, summer mein disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Saket hall ke AC aur lights bilkul fail, wedding night adventure!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Vasant Kunj hall mein furniture aur flooring bilkul poor, residents complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini hall ka maintenance bilkul zero, MCD action chahiye.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh hall ka AC aur ventilation bilkul fail, wedding night disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Janakpuri hall ka furniture aur flooring bilkul kharab, function fail.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Sundar Nagar hall ka AC aur lights bilkul fail, total disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Saket hall ka floor aur furniture bilkul poor, MCD repair urgently!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Vikaspuri hall ka furniture aur flooring bilkul kharab, MCD act immediately.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Delhi ke halls mein maintenance staff bilkul absent, management zero.",community_and_public_spaces,community_hall_mismanagement,English,No
"Janakpuri Block B hall mein AC aur lights fail, summer function impossible!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Sundar Nagar hall ke AC aur ventilation bilkul fail, wedding night impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Preet Vihar hall ka furniture aur flooring bilkul kharab, event fail.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri Block F hall ka AC aur lights bilkul fail, total disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Rohini hall mein furniture aur flooring bilkul poor, wedding night disaster.",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Saket hall ka maintenance bilkul zero, MCD act immediately!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh hall ka furniture aur flooring bilkul fail, residents complain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri hall ka AC aur ventilation bilkul fail, wedding night adventure!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Sundar Nagar hall ka furniture aur flooring bilkul kharab, event fail.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Preet Vihar hall ka AC aur ventilation bilkul fail, wedding night disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Rohini Sector 12 hall ka furniture aur flooring bilkul poor, residents complain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Vikaspuri hall ka AC aur ventilation bilkul fail, function impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Delhi Haat hall ka furniture aur flooring bilkul kharab, event disaster.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Lajpat Nagar hall ke AC aur lights bilkul fail, summer wedding disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Sundar Nagar hall ka furniture aur flooring bilkul poor, function fail.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall ka AC aur ventilation bilkul fail, wedding night adventure!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Janakpuri hall ka furniture aur flooring bilkul kharab, total disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini hall ke AC aur ventilation bilkul fail, summer function impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Saket hall ka furniture aur flooring bilkul poor, MCD repair urgently!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Rohini Sector 10 hall ka furniture aur flooring bilkul kharab, event fail.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall ka maintenance bilkul zero, function disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Pitampura hall mein lights aur AC bilkul fail, summer wedding disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Janakpuri Block B hall ka furniture aur flooring bilkul kharab, residents complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Vasant Kunj hall ke furniture aur ventilation bilkul fail, total disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Rohini hall mein maintenance bilkul zero, function impossible.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Karol Bagh hall ke AC aur flooring bilkul poor, summer event disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Lajpat Nagar 2 hall ka furniture aur flooring bilkul kharab, wedding function impossible!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall ka furniture aur lights bilkul poor, MCD act urgently!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Delhi Haat hall ke fans aur lights bilkul fail, residents complain kar rahe hain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri Block B hall ka furniture aur flooring bilkul kharab, total disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Sundar Nagar hall ka furniture aur flooring bilkul poor, event impossible!",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall mein AC aur lights bilkul fail, wedding night adventure!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Janakpuri Block F hall ke fans aur AC bilkul fail, total disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
"Rohini hall ka furniture aur flooring bilkul poor, function fail.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Saket hall ka maintenance bilkul zero, residents complain.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
"Janakpuri hall ke AC aur ventilation bilkul fail, total disaster!",community_and_public_spaces,community_hall_mismanagement,Hinglish,Yes
